省,市,订单行数,数量合计,GMV合计,GMV占比,数量占比
广东省,汕尾市,46,107.0,1427.757,0.13,0.16
辽宁省,盘锦市,40,79.0,1426.27,0.13,0.12
湖南省,株洲市,40,82.0,1425.2588,0.13,0.12
山西省,晋中市,41,78.0,1423.1779999999999,0.13,0.12
湖南省,岳阳市,42,81.0,1419.0603,0.13,0.12
安徽省,安庆市,47,74.0,1407.51,0.12,0.11
广东省,梅州市,40,82.0,1398.8772,0.12,0.12
安徽省,马鞍山市,46,75.0,1397.94,0.12,0.11
吉林省,通化市,47,87.0,1394.12,0.12,0.13
陕西省,渭南市,41,79.0,1392.46,0.12,0.12
河北省,衡水市,47,79.0,1388.48,0.12,0.12
山东省,泰安市,56,77.0,1380.9486,0.12,0.12
浙江省,舟山市,44,78.0,1378.4254,0.12,0.12
江西省,吉安市,40,76.0,1374.8304,0.12,0.11
内蒙古自治区,呼和浩特市,50,88.0,1354.0800000000002,0.12,0.13
山东省,聊城市,44,81.0,1352.0204,0.12,0.12
四川省,内江市,40,77.0,1315.2099,0.12,0.12
云南省,昭通市,33,72.0,1309.8104,0.12,0.11
湖北省,省直辖县级行政区划,33,80.0,1307.0512,0.12,0.12
浙江省,衢州市,36,67.0,1249.4199,0.11,0.1
福建省,南平市,34,67.0,1236.4351,0.11,0.1
湖南省,娄底市,29,69.0,1224.0906,0.11,0.1
广西壮族自治区,防城港市,31,72.0,1221.1908,0.11,0.11
贵州省,黔东南苗族侗族自治州,33,65.0,1214.0303,0.11,0.1
湖南省,永州市,42,71.0,1206.4803,0.11,0.11
湖南省,郴州市,38,67.0,1197.49,0.11,0.1
云南省,红河哈尼族彝族自治州,31,67.0,1195.2297,0.11,0.1
湖北省,鄂州市,22,69.0,1192.2604000000001,0.11,0.1
广西壮族自治区,钦州市,35,65.0,1176.88,0.1,0.1
四川省,广安市,32,68.0,1168.2608,0.1,0.1
云南省,大理白族自治州,32,63.0,1161.3383999999999,0.1,0.1
安徽省,黄山市,24,64.0,1160.5904,0.1,0.1
四川省,巴中市,30,66.0,1154.201,0.1,0.1
河南省,新乡市,42,69.0,1151.435,0.1,0.1
山西省,忻州市,29,66.0,1147.8,0.1,0.1
黑龙江省,齐齐哈尔市,35,70.0,1128.8005,0.1,0.11
湖南省,益阳市,29,64.0,1122.4507,0.1,0.1
湖南省,衡阳市,38,64.0,1109.21,0.1,0.1
陕西省,宝鸡市,37,63.0,1106.1587,0.1,0.1
河南省,平顶山市,38,63.0,1103.79,0.1,0.1
河南省,许昌市,36,62.0,1082.28,0.1,0.09
四川省,资阳市,35,61.0,1080.2777,0.1,0.09
安徽省,池州市,23,63.0,1076.9576,0.09,0.1
山西省,吕梁市,30,60.0,1075.0504,0.09,0.09
河北省,承德市,35,60.0,1074.9202,0.09,0.09
贵州省,黔南布依族苗族自治州,35,63.0,1070.1573,0.09,0.1
山西省,临汾市,35,63.0,1050.09,0.09,0.1
四川省,攀枝花市,27,60.0,1046.8,0.09,0.09
广西壮族自治区,百色市,31,62.0,1043.9802,0.09,0.09
黑龙江省,绥化市,38,56.0,1038.19,0.09,0.08
江西省,景德镇市,30,57.0,1037.5884,0.09,0.09
吉林省,延边朝鲜族自治州,34,59.0,1021.5699,0.09,0.09
湖南省,湘西土家族苗族自治州,28,55.0,1020.6667,0.09,0.08
湖南省,怀化市,32,58.0,1019.5882,0.09,0.09
陕西省,汉中市,34,55.0,1018.9,0.09,0.08
贵州省,安顺市,31,57.0,1013.2869000000001,0.09,0.09
广西壮族自治区,梧州市,32,59.0,1009.84,0.09,0.09
云南省,保山市,20,54.0,1005.7104,0.09,0.08
吉林省,四平市,29,62.0,980.6402,0.09,0.09
云南省,曲靖市,29,55.0,976.77,0.09,0.08
河南省,安阳市,33,53.0,970.3580000000001,0.09,0.08
山西省,运城市,31,57.0,963.6700000000001,0.08,0.09
广东省,阳江市,35,55.0,963.1445,0.08,0.08
贵州省,六盘水市,26,54.0,949.4969,0.08,0.08
陕西省,商洛市,13,53.0,947.4808,0.08,0.08
内蒙古自治区,乌兰察布市,17,53.0,947.4704,0.08,0.08
四川省,广元市,29,62.0,937.9898000000001,0.08,0.09
内蒙古自治区,赤峰市,27,57.0,935.5604,0.08,0.09
陕西省,延安市,19,55.0,929.2199,0.08,0.08
山西省,长治市,35,55.0,922.2493000000001,0.08,0.08
云南省,普洱市,20,55.0,918.8036,0.08,0.08
四川省,自贡市,35,53.0,918.5108,0.08,0.08
安徽省,淮北市,35,54.0,904.9182000000001,0.08,0.08
山东省,枣庄市,29,52.0,896.62,0.08,0.08
广东省,云浮市,32,56.0,882.9100999999999,0.08,0.08
河南省,漯河市,32,53.0,877.9508000000001,0.08,0.08
内蒙古自治区,包头市,29,56.0,875.8797,0.08,0.08
山东省,东营市,29,47.0,862.31,0.08,0.07
广东省,潮州市,29,51.0,857.2708,0.08,0.08
河南省,濮阳市,30,49.0,839.4,0.07,0.07
江西省,抚州市,28,49.0,828.1601,0.07,0.07
广西壮族自治区,贵港市,31,49.0,806.5093,0.07,0.07
黑龙江省,牡丹江市,27,46.0,770.2677,0.07,0.07
广西壮族自治区,河池市,18,38.0,766.21,0.07,0.06
甘肃省,平凉市,18,47.0,752.91,0.07,0.07
湖北省,随州市,20,42.0,752.5105,0.07,0.06
黑龙江省,鹤岗市,24,41.0,732.7180000000001,0.06,0.06
四川省,雅安市,20,42.0,731.7979,0.06,0.06
山西省,朔州市,24,40.0,728.1884,0.06,0.06
辽宁省,本溪市,27,43.0,724.51,0.06,0.06
吉林省,白城市,23,50.0,719.71,0.06,0.08
山西省,阳泉市,22,46.0,690.5898,0.06,0.07
吉林省,松原市,23,44.0,681.5379,0.06,0.07
吉林省,辽源市,21,41.0,663.77,0.06,0.06
湖北省,仙桃市,17,32.0,657.358,0.06,0.05
云南省,丽江市,17,34.0,631.17,0.06,0.05
黑龙江省,佳木斯市,21,35.0,629.0233000000001,0.06,0.05
四川省,甘孜藏族自治州,15,35.0,622.2402,0.05,0.05
湖南省,张家界市,19,33.0,617.62,0.05,0.05
黑龙江省,双鸭山市,19,31.0,603.658,0.05,0.05
海南省,儋州市,17,35.0,602.35,0.05,0.05
江西省,鹰潭市,22,36.0,601.32,0.05,0.05
广西壮族自治区,贺州市,18,31.0,579.9919,0.05,0.05
四川省,阿坝藏族羌族自治州,17,34.0,579.14,0.05,0.05
湖南省,湘潭市,23,33.0,576.1393,0.05,0.05
宁夏回族自治区,银川市,17,35.0,569.9300000000001,0.05,0.05
云南省,玉溪市,19,33.0,566.1009,0.05,0.05
甘肃省,陇南市,15,32.0,543.72,0.05,0.05
江西省,萍乡市,16,30.0,535.5001,0.05,0.05
广西壮族自治区,来宾市,17,28.0,533.3793000000001,0.05,0.04
云南省,楚雄彝族自治州,14,30.0,530.8578,0.05,0.05
内蒙古自治区,鄂尔多斯市,17,33.0,527.62,0.05,0.05
云南省,文山壮族苗族自治州,15,28.0,518.838,0.05,0.04
黑龙江省,鸡西市,17,29.0,517.97,0.05,0.04
黑龙江省,大兴安岭地区,14,28.0,509.3164,0.04,0.04
山西省,晋城市,18,28.0,491.47,0.04,0.04
河南省,三门峡市,16,29.0,485.28,0.04,0.04
安徽省,铜陵市,16,24.0,478.6401,0.04,0.04
甘肃省,庆阳市,15,27.0,470.68010000000004,0.04,0.04
云南省,德宏傣族景颇族自治州,11,24.0,427.2301,0.04,0.04
黑龙江省,黑河市,15,24.0,422.06,0.04,0.04
黑龙江省,伊春市,11,24.0,415.53,0.04,0.04
内蒙古自治区,通辽市,13,25.0,395.82,0.03,0.04
吉林省,白山市,11,23.0,386.9797,0.03,0.03
甘肃省,临夏回族自治州,8,22.0,386.9708,0.03,0.03
河南省,鹤壁市,12,22.0,380.4486,0.03,0.03
青海省,西宁市,10,21.0,361.2904,0.03,0.03
内蒙古自治区,巴彦淖尔市,7,21.0,348.4204,0.03,0.03
内蒙古自治区,兴安盟,10,21.0,328.23,0.03,0.03
湖北省,天门市,9,15.0,308.85,0.03,0.02
海南省,澄迈县,6,16.0,308.49,0.03,0.02
江西省,新余市,11,16.0,304.43,0.03,0.02
云南省,临沧市,8,15.0,297.57,0.03,0.02
云南省,怒江傈僳族自治州,4,17.0,293.2804,0.03,0.03
内蒙古自治区,锡林郭勒盟,7,17.0,272.1704,0.02,0.03
甘肃省,白银市,11,17.0,265.62,0.02,0.03
海南省,文昌市,6,12.0,240.0177,0.02,0.02
海南省,陵水黎族自治县,5,12.0,215.9,0.02,0.02
甘肃省,定西市,4,12.0,204.82999999999998,0.02,0.02
湖北省,神农架林区,2,10.0,197.51,0.02,0.02
海南省,乐东黎族自治县,5,10.0,196.56,0.02,0.02
海南省,定安县,5,10.0,194.87,0.02,0.02
宁夏回族自治区,石嘴山市,7,12.0,193.59,0.02,0.02
甘肃省,甘南藏族自治州,6,12.0,177.16,0.02,0.02
甘肃省,张掖市,6,13.0,175.9298,0.02,0.02
甘肃省,武威市,6,11.0,174.29000000000002,0.02,0.02
黑龙江省,七台河市,6,10.0,173.52,0.02,0.02
甘肃省,酒泉市,7,9.0,172.89,0.02,0.01
海南省,五指山市,5,9.0,165.29,0.01,0.01
云南省,迪庆藏族自治州,5,10.0,159.88,0.01,0.02
海南省,临高县,3,8.0,159.07999999999998,0.01,0.01
甘肃省,金昌市,5,8.0,146.63,0.01,0.01
湖北省,潜江市,5,8.0,145.99,0.01,0.01
陕西省,铜川市,5,8.0,142.29,0.01,0.01
河南省,济源市,2,6.0,128.41,0.01,0.01
宁夏回族自治区,中卫市,4,8.0,127.19,0.01,0.01
山东省,莱芜市,4,7.0,125.58,0.01,0.01
青海省,海西蒙古族藏族自治州,4,7.0,119.5,0.01,0.01
青海省,海南藏族自治州,4,7.0,117.45,0.01,0.01
海南省,万宁市,4,6.0,105.16,0.01,0.01
湖北省,潜江,3,6.0,90.72,0.01,0.01
河南省,省直辖县级行政区划,4,5.0,84.73,0.01,0.01
内蒙古自治区,乌海市,3,5.0,84.62,0.01,0.01
海南省,白沙黎族自治县,2,3.0,70.25,0.01,0.0
海南省,琼中黎族苗族自治县,3,4.0,67.69,0.01,0.01
宁夏回族自治区,固原市,2,4.0,66.28999999999999,0.01,0.01
海南省,琼海市,2,3.0,60.769999999999996,0.01,0.0
海南省,昌江黎族自治县,2,2.0,41.58,0.0,0.0
海南省,屯昌县,1,2.0,39.5,0.0,0.0
海南省,保亭黎族苗族自治县,1,2.0,38.61,0.0,0.0
湖北省,天门,1,2.0,34.89,0.0,0.0
海南省,东方市,1,2.0,23.5,0.0,0.0
河北省,雄安新区,1,1.0,21.91,0.0,0.0
甘肃省,嘉峪关市,1,1.0,19.8,0.0,0.0
