数据月份,省,市,订单行数,数量合计,GMV合计
3月,河南省,漯河市,2,5.0,37.4904
3月,河北省,邢台市,3,5.0,36.5052
3月,安徽省,池州市,3,4.0,32.928
3月,安徽省,安庆市,2,4.0,30.301099999999998
3月,福建省,厦门市,3,5.0,30.1057
3月,湖北省,黄石市,3,4.0,29.9572
3月,湖北省,十堰市,3,4.0,29.9268
3月,湖南省,郴州市,3,3.0,29.7256
3月,湖北省,荆门市,2,4.0,29.5801
3月,河北省,省直辖县级行政区划,1,4.0,27.81
3月,辽宁省,本溪市,1,3.0,27.0951
3月,山西省,运城市,2,3.0,27.08
3月,河南省,鹤壁市,1,3.0,26.9001
3月,辽宁省,葫芦岛市,1,3.0,26.9001
3月,山东省,德州市,2,3.0,26.197599999999998
3月,云南省,昭通市,1,3.0,25.8999
3月,甘肃省,陇南市,2,3.0,24.193199999999997
3月,吉林省,通化市,1,3.0,23.31
3月,贵州省,遵义市,2,3.0,22.4812
3月,四川省,宜宾市,1,3.0,20.7201
3月,云南省,大理白族自治州,1,2.0,18.9
3月,吉林省,松原市,1,2.0,18.9
3月,山西省,长治市,1,2.0,18.9
3月,广东省,肇庆市,1,2.0,18.9
3月,浙江省,舟山市,1,2.0,18.9
3月,山西省,忻州市,2,2.0,18.6537
3月,云南省,红河哈尼族彝族自治州,1,3.0,18.5151
3月,福建省,三明市,3,3.0,18.3318
3月,黑龙江省,鸡西市,2,2.0,18.244
3月,陕西省,汉中市,1,3.0,18.1299
3月,山西省,阳泉市,1,3.0,17.8011
3月,河南省,驻马店市,2,2.0,17.741500000000002
3月,广西壮族自治区,百色市,1,2.0,17.1204
3月,河南省,濮阳市,1,2.0,17.1204
3月,湖南省,湘西土家族苗族自治州,1,2.0,17.1204
3月,湖南省,邵阳市,1,2.0,17.1204
3月,四川省,泸州市,1,2.0,16.109
3月,贵州省,安顺市,2,2.0,16.0263
3月,陕西省,延安市,2,2.0,14.9389
3月,宁夏回族自治区,石嘴山市,2,2.0,14.620000000000001
3月,河南省,新乡市,1,2.0,14.5556
3月,安徽省,铜陵市,1,2.0,14.32
3月,河北省,秦皇岛市,2,2.0,14.11
3月,山西省,大同市,1,2.0,13.8152
3月,陕西省,渭南市,1,2.0,13.6962
3月,甘肃省,白银市,1,1.0,12.99
3月,四川省,乐山市,1,1.0,10.9
3月,广东省,汕尾市,1,1.0,10.9
3月,广东省,湛江市,1,1.0,10.9
3月,广东省,茂名市,1,1.0,10.9
3月,山西省,吕梁市,1,1.0,10.6
3月,青海省,果洛藏族自治州,1,1.0,10.36
3月,河北省,张家口市,1,1.0,9.9
3月,吉林省,辽源市,1,1.0,9.122
3月,宁夏回族自治区,固原市,1,1.0,9.122
3月,宁夏回族自治区,银川市,1,1.0,9.122
3月,安徽省,黄山市,1,1.0,9.122
3月,山东省,东营市,1,1.0,9.122
3月,广东省,河源市,1,1.0,9.122
3月,广西壮族自治区,贺州市,1,1.0,9.122
3月,河北省,邯郸市,1,1.0,9.122
3月,湖南省,益阳市,1,1.0,9.122
3月,甘肃省,临夏回族自治州,1,1.0,9.122
3月,福建省,龙岩市,1,1.0,9.122
3月,青海省,西宁市,1,1.0,9.122
3月,黑龙江省,佳木斯市,1,1.0,9.122
3月,宁夏回族自治区,吴忠市,1,1.0,8.94
3月,陕西省,商洛市,1,1.0,8.72
3月,陕西省,宝鸡市,1,1.0,8.72
3月,四川省,眉山市,1,1.0,7.7537
3月,甘肃省,庆阳市,1,1.0,7.7537
3月,黑龙江省,黑河市,1,1.0,7.7537
3月,内蒙古自治区,通辽市,1,1.0,7.6678
3月,广西壮族自治区,河池市,1,1.0,7.2976
3月,四川省,遂宁市,1,1.0,7.2315
3月,甘肃省,定西市,1,1.0,6.8481
3月,贵州省,铜仁市,1,1.0,5.8169
3月,海南省,儋州市,1,1.0,2.5119
