省,市,商品名称,产品名称,订单行数,数量合计,GMV合计
广东省,汕头市,美极鲜味汁12x400ml,美极鲜味汁 12x400毫升,117,216.0,3933.3943
广东省,江门市,美极鲜味汁12x400ml,美极鲜味汁 12x400毫升,123,215.0,3931.8833
山东省,潍坊市,美极鲜味汁12x400ml,美极鲜味汁 12x400毫升,109,220.0,3896.6382
河北省,保定市,美极鲜味汁12x400ml,美极鲜味汁 12x400毫升,114,198.0,3652.5891
广西壮族自治区,桂林市,美极鲜味汁12x400ml,美极鲜味汁 12x400毫升,84,194.0,3617.6714
江西省,赣州市,美极鲜味汁12x400ml,美极鲜味汁 12x400毫升,93,185.0,3524.2298
江苏省,徐州市,美极鲜味汁12x400ml,美极鲜味汁 12x400毫升,117,187.0,3471.0366
天津,天津市,美极鲜味汁24x200ml,美极鲜味汁 24x200毫升,129,242.0,3320.0508
山东省,临沂市,美极鲜味汁12x400ml,美极鲜味汁 12x400毫升,107,186.0,3216.8951
贵州省,贵阳市,美极鲜味汁12x400ml,美极鲜味汁 12x400毫升,91,169.0,3073.95
河北省,沧州市,美极鲜味汁12x400ml,美极鲜味汁 12x400毫升,100,168.0,3047.098
江苏省,镇江市,美极鲜味汁12x400ml,美极鲜味汁 12x400毫升,93,165.0,3021.6887
四川省,成都市,美极鲜味汁24x200ml,美极鲜味汁 24x200毫升,125,212.0,2991.0502
辽宁省,抚顺市,美极鲜味汁12x400ml,美极鲜味汁 12x400毫升,86,173.0,2871.9532
江苏省,扬州市,美极鲜味汁12x400ml,美极鲜味汁 12x400毫升,82,155.0,2834.0775
海南省,三亚市,美极鲜味汁12x400ml,美极鲜味汁 12x400毫升,66,157.0,2833.8584
广东省,东莞市,美极鲜味汁24x200ml,美极鲜味汁 24x200毫升,112,212.0,2831.7607
四川省,宜宾市,美极鲜味汁12x400ml,美极鲜味汁 12x400毫升,81,155.0,2798.4701
安徽省,阜阳市,美极鲜味汁12x400ml,美极鲜味汁 12x400毫升,88,154.0,2785.7834000000003
广东省,深圳市,美极鲜味汁28x100ml,美极鲜味汁 28x100毫升,171,287.0,2769.9698
山东省,济宁市,美极鲜味汁12x400ml,美极鲜味汁 12x400毫升,79,152.0,2739.6557
广西壮族自治区,柳州市,美极鲜味汁12x400ml,美极鲜味汁 12x400毫升,58,141.0,2708.1395
河北省,邯郸市,美极鲜味汁12x400ml,美极鲜味汁 12x400毫升,87,158.0,2674.2351
四川省,德阳市,美极鲜味汁12x400ml,美极鲜味汁 12x400毫升,76,152.0,2662.9404
河北省,秦皇岛市,美极鲜味汁12x400ml,美极鲜味汁 12x400毫升,76,148.0,2629.0425
河南省,洛阳市,美极鲜味汁12x400ml,美极鲜味汁 12x400毫升,83,140.0,2588.6347
重庆,重庆市,美极鲜味汁24x200ml,美极鲜味汁 24x200毫升,83,188.0,2585.0311
北京,北京市,美极鲜味汁28x100ml,美极鲜味汁 28x100毫升,148,278.0,2571.75
四川省,眉山市,美极鲜味汁12x400ml,美极鲜味汁 12x400毫升,66,143.0,2525.0009
湖北省,荆州市,美极鲜味汁12x400ml,美极鲜味汁 12x400毫升,59,140.0,2521.9301
河南省,南阳市,美极鲜味汁12x400ml,美极鲜味汁 12x400毫升,72,136.0,2511.7784
湖北省,宜昌市,美极鲜味汁12x400ml,美极鲜味汁 12x400毫升,73,131.0,2476.4393
福建省,宁德市,美极鲜味汁12x400ml,美极鲜味汁 12x400毫升,46,144.0,2476.1705
福建省,漳州市,美极鲜味汁12x400ml,美极鲜味汁 12x400毫升,73,134.0,2461.985
江西省,上饶市,美极鲜味汁12x400ml,美极鲜味汁 12x400毫升,58,129.0,2454.8102
湖北省,咸宁市,美极鲜味汁12x400ml,美极鲜味汁 12x400毫升,54,133.0,2449.3669
海南省,海口市,美极鲜味汁12x400ml,美极鲜味汁 12x400毫升,72,134.0,2428.9969
